,Symbol,Bid,Ask,Datetime,Timestamp
0,BTC/USDT,"[25898.7, 0.028, 1693582655]","[25898.8, 0.246, 1693582710]",2023-09-01 16:38:31.989764,
1,BTC/USDT,"[25893.8, 0.016, 1693582770]","[25895.0, 0.918, 1693582770]",2023-09-01 16:39:32.296608,
2,BTC/USDT,"[25894.9, 0.394, 1693582831]","[25895.0, 0.304, 1693582819]",2023-09-01 16:40:32.627473,
3,BTC/USDT,"[25878.2, 0.001, 1693582890]","[25879.5, 0.194, 1693582890]",2023-09-01 16:41:32.854163,
4,BTC/USDT,"[25877.5, 0.077, 1693582949]","[25878.2, 0.001, 1693582945]",2023-09-01 16:42:33.142823,
5,BTC/USDT,"[25865.3, 0.001, 1693583006]","[25866.4, 0.726, 1693583006]",2023-09-01 16:43:33.383296,
6,BTC/USDT,"[25870.4, 0.052, 1693583062]","[25871.4, 0.194, 1693583063]",2023-09-01 16:44:33.953117,
7,BTC/USDT,"[25859.5, 0.001, 1693583131]","[25862.4, 0.726, 1693583127]",2023-09-01 16:45:34.232163,
8,BTC/USDT,"[25855.7, 0.104, 1693583186]","[25856.5, 0.194, 1693583186]",2023-09-01 16:46:34.467394,
9,BTC/USDT,"[25834.9, 0.028, 1693583254]","[25836.3, 0.194, 1693583255]",2023-09-01 16:47:35.246266,
10,BTC/USDT,"[25836.4, 0.454, 1693583313]","[25836.5, 0.194, 1693583307]",2023-09-01 16:48:35.971345,
11,BTC/USDT,"[25839.9, 0.042, 1693583367]","[25841.2, 0.001, 1693583372]",2023-09-01 16:49:38.574781,
12,BTC/USDT,"[25820.9, 0.1, 1693583433]","[25822.2, 0.727, 1693583432]",2023-09-01 16:50:38.797432,
13,BTC/USDT,"[25829.3, 0.052, 1693583495]","[25830.6, 0.194, 1693583493]",2023-09-01 16:51:39.174771,
14,BTC/USDT,"[25823.8, 0.094, 1693583552]","[25824.9, 0.727, 1693583552]",2023-09-01 16:52:39.413102,
15,BTC/USDT,"[25851.6, 0.05, 1693583613]","[25853.6, 0.029, 1693583613]",2023-09-01 16:53:39.646477,
16,BTC/USDT,"[25841.6, 0.046, 1693583669]","[25844.9, 0.052, 1693583675]",2023-09-01 16:54:39.864212,
17,BTC/USDT,"[25860.7, 0.094, 1693583739]","[25863.6, 1.034, 1693583739]",2023-09-01 16:55:40.105195,
18,BTC/USDT,"[25848.3, 0.052, 1693583799]","[25851.1, 0.726, 1693583796]",2023-09-01 16:56:40.436110,
19,BTC/USDT,"[25839.3, 0.05, 1693583860]","[25841.4, 0.726, 1693583860]",2023-09-01 16:57:40.749762,
20,BTC/USDT,"[25815.4, 0.282, 1693583920]","[25817.8, 0.727, 1693583917]",2023-09-01 16:58:41.474782,
21,BTC/USDT,"[25812.1, 0.309, 1693583973]","[25812.5, 0.016, 1693583980]",2023-09-01 16:59:41.683442,
22,BTC/USDT,"[25817.1, 0.188, 1693584040]","[25818.8, 0.727, 1693584040]",2023-09-01 17:00:42.021682,
23,BTC/USDT,"[25792.4, 0.05, 1693584100]","[25795.4, 0.728, 1693584098]",2023-09-01 17:01:42.261564,
